FECHA;EVENTO;LUGAR;MODALIDAD / FORMATO;APERTURA;CIERRE;AFORO;BARRIO;AÑO;MES
21/6/2024;Miranda;Movistar Arena;Recital;21/6/2024 19:00;22/6/2024 01:00;14.003;VILLA CRESPO;2024;6
22/6/2024;Miranda;Movistar Arena;Recital;22/6/2024 19:00;23/6/2024 01:00;14.003;VILLA CRESPO;2024;6
22/6/2024;Los Caballeros de la Quema;Obras Sanitarias de la Nación - Indoors;Recital;22/6/2024 19:00;23/6/2024 01:00;5.000;NUÑEZ;2024;6
22/6/2024;Amelie Lens;Mandarine Tent;DJ SET;22/6/2024 23:00;23/6/2024 07:00;5.000;PALERMO;2024;6
22/6/2024;Performance de danza y Música by Bresh;GEBA - Roel Mora;Fiesta;22/6/2024 23:30;23/6/2024 06:30;2.400;PALERMO;2024;6
25/6/2024;Rawayana;Obras Sanitarias de la Nación - Indoors;Recital;25/6/2024 19:00;26/6/2024 01:00;5.000;NUÑEZ;2024;6
29/6/2024;Fiesta de San Juan;Parroquia Virgen de los Milagros de Caacupé – Barrio 21-24;Fiesta;29/6/2024 10:00;30/6/2024 00:00;2.000;BARRACAS;2024;6
29/6/2024;Ferias de las Parrillas;Parque de Mataderos;Feria;29/6/2024 11:00;29/6/2024 18:00;50.000;MATADEROS;2024;6
29/6/2024;Secret Garden;Rosedal de Palermo;Exhibición;29/6/2024 18:30;30/6/2024 01:00;5.000;PALERMO;2024;6
29/6/2024;Performance de danza y Música by Bresh;GEBA - Roel Mora;Fiesta;29/6/2024 23:30;30/6/2024 06:30;2.400;PALERMO;2024;6
